MAIN: player=0, deck=35, is_low=False, play_opts=1
MAIN: player=0, deck=35, is_low=False, play_opts=0
MAIN: player=0, deck=34, is_low=False, play_opts=1
MAIN: player=0, deck=34, is_low=False, play_opts=1
MAIN: player=0, deck=34, is_low=False, play_opts=1
MAIN: player=0, deck=29, is_low=False, play_opts=4
MAIN: player=0, deck=28, is_low=False, play_opts=3
MAIN: player=0, deck=28, is_low=False, play_opts=3
MAIN: player=0, deck=27, is_low=False, play_opts=1
MAIN: player=0, deck=26, is_low=False, play_opts=0
MAIN: player=0, deck=25, is_low=False, play_opts=1
MAIN: player=0, deck=25, is_low=False, play_opts=1
MAIN: player=0, deck=23, is_low=False, play_opts=0
MAIN: player=0, deck=22, is_low=False, play_opts=1
MAIN: player=0, deck=22, is_low=False, play_opts=2
MAIN: player=0, deck=22, is_low=False, play_opts=2
MAIN: player=0, deck=22, is_low=False, play_opts=2
MAIN: player=0, deck=22, is_low=False, play_opts=2
MAIN: player=0, deck=18, is_low=False, play_opts=3
MAIN: player=0, deck=15, is_low=False, play_opts=4
MAIN: player=0, deck=16, is_low=False, play_opts=3
MAIN: player=0, deck=14, is_low=False, play_opts=2
MAIN: player=0, deck=14, is_low=False, play_opts=1
MAIN: player=0, deck=14, is_low=False, play_opts=0
MAIN: player=0, deck=13, is_low=False, play_opts=2
MAIN: player=0, deck=13, is_low=False, play_opts=2
MAIN: player=0, deck=13, is_low=False, play_opts=2
MAIN: player=0, deck=12, is_low=False, play_opts=2
MAIN: player=0, deck=12, is_low=False, play_opts=2
MAIN: player=0, deck=11, is_low=False, play_opts=3
MAIN: player=0, deck=11, is_low=False, play_opts=3
MAIN: player=0, deck=10, is_low=False, play_opts=4
MAIN: player=0, deck=10, is_low=False, play_opts=4
MAIN: player=0, deck=9, is_low=False, play_opts=4
MAIN: player=0, deck=9, is_low=False, play_opts=4
MAIN: player=0, deck=8, is_low=False, play_opts=4
MAIN: player=0, deck=8, is_low=False, play_opts=4
MAIN: player=0, deck=8, is_low=False, play_opts=4
MAIN: player=0, deck=46, is_low=False, play_opts=1
MAIN: player=0, deck=46, is_low=False, play_opts=1
MAIN: player=0, deck=46, is_low=False, play_opts=1
MAIN: player=0, deck=46, is_low=False, play_opts=0
MAIN: player=0, deck=45, is_low=False, play_opts=3
MAIN: player=0, deck=45, is_low=False, play_opts=3
MAIN: player=0, deck=40, is_low=False, play_opts=4
MAIN: player=0, deck=40, is_low=False, play_opts=4
MAIN: player=0, deck=40, is_low=False, play_opts=4
MAIN: player=0, deck=39, is_low=False, play_opts=3
MAIN: player=0, deck=39, is_low=False, play_opts=2
MAIN: player=0, deck=39, is_low=False, play_opts=1
MAIN: player=0, deck=38, is_low=False, play_opts=0
MAIN: player=0, deck=37, is_low=False, play_opts=2
MAIN: player=0, deck=37, is_low=False, play_opts=2
MAIN: player=0, deck=30, is_low=False, play_opts=4
MAIN: player=0, deck=30, is_low=False, play_opts=4
MAIN: player=0, deck=28, is_low=False, play_opts=6
MAIN: player=0, deck=46, is_low=False, play_opts=1
MAIN: player=0, deck=46, is_low=False, play_opts=1
